VENDOR_KEY,RETAILER_KEY,ITEM_KEY,STORE_KEY,PERIOD_KEY,MODULAR_KEY,REQUEST_DATE,STORE_SPECIFIC_RETAIL,POS_SALES,POS_QTY,POS_COST,MAX_SHELF_QTY,GROSS_SHIP_QTY,GROSS_SHIP_RETAIL,NET_SHIP_QTY,NET_SHIP_RETAIL,AVG_TRAITED_STORE_ITEM_COMB,AVG_VALID_STORE_ITEM_COMB,AVG_STR_DD_RATE_OF_SALE,AVG_IN_STOCK,AVG_REPL_IN_STOCK,HIST_ON_HAND_QTY,SI_MUMD_QTY,SI_TOTAL_MUMD,NUM_OF_BASKET_OCCURENCES,BASKET_SCAN_COUNT,BASKET_SALES,BASKET_GM,REPLENISHEDFLAG
308,1010,6264,911,20170114,5498,2017-02-16,9.84,19.68,2,,6,4,39.36,4,39.36,1,1,,1,100,6,0,0,2,11,53.37,53.37,1
308,1010,6264,913,20170114,5328,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,4,0,0,1,27,114.6,114.6,1
308,1010,6264,922,20170114,5288,2017-02-16,9.84,9.84,1,,6,4,39.36,4,39.36,1,1,,1,100,5,0,0,1,17,85.83,85.83,1
308,1010,6264,937,20170114,5005,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,5,0,0,0,0,0,0,1
308,1010,6264,941,20170114,5495,2017-02-16,9.84,19.68,2,,6,4,39.36,4,39.36,1,1,,1,100,5,0,0,2,41,211.57,211.57,1
308,1010,6264,943,20170114,5007,2017-02-16,9.84,49.2,5,,6,4,39.36,4,39.36,1,1,,1,100,1,0,0,5,176,856.85,856.85,1
308,1010,6264,962,20170114,5481,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,4,0,0,1,49,190.87,190.87,1
308,1010,6264,971,20170114,4992,2017-02-16,9.84,0,0,,6,4,39.36,4,39.36,1,1,,1,100,7,0,0,0,0,0,0,1
308,1010,6264,978,20170114,5285,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,7,0,0,0,0,0,0,1
308,1010,6264,979,20170114,5285,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,4,0,0,0,0,0,0,1
308,1010,6264,982,20170114,5285,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,5,0,0,0,0,0,0,1
308,1010,6264,984,20170114,5295,2017-02-16,9.84,9.84,1,,6,4,39.36,4,39.36,1,1,,1,100,8,0,0,1,21,124.06,124.06,1
308,1010,6264,986,20170114,4748,2017-02-16,9.84,19.68,2,,6,4,39.36,4,39.36,1,1,,1,100,8,0,0,2,18,85.96,85.96,1
308,1010,6264,989,20170114,4860,2017-02-16,9.84,19.68,2,,6,0,0,0,0,1,1,,1,100,7,0,0,2,13,69.38,69.38,1
308,1010,6264,998,20170114,3392,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,4,0,0,0,0,0,0,1
308,1010,6264,1001,20170114,5501,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,8,0,0,0,0,0,0,1
308,1010,6264,1003,20170114,5268,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,5,0,0,1,83,334.23,334.23,1
308,1010,6264,1005,20170114,4992,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,4,0,0,1,80,300.51,300.51,1
308,1010,6264,1007,20170114,4992,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,4,0,0,0,0,0,0,1
308,1010,6264,1021,20170114,4791,2017-02-16,9.84,9.84,1,,6,4,39.36,4,39.36,1,1,,1,100,8,0,0,1,10,40.07,40.07,1
308,1010,6264,1024,20170114,4864,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,4,0,0,0,0,0,0,1
308,1010,6264,1029,20170114,4868,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,7,0,0,1,35,178.18,178.18,1
308,1010,6264,1037,20170114,4887,2017-02-16,9.84,0,0,,6,4,39.36,4,39.36,1,1,,1,100,6,0,0,0,0,0,0,1
308,1010,6264,1044,20170114,4991,2017-02-16,9.84,29.52,3,,6,0,0,0,0,1,1,,1,100,6,0,0,5,169,816.5,816.5,1
308,1010,6264,1057,20170114,4744,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,6,0,0,1,0,0,0,1
308,1010,6264,1067,20170114,4676,2017-02-16,9.84,0,0,,6,4,39.36,4,39.36,1,1,,1,100,7,0,0,0,0,0,0,1
308,1010,6264,1077,20170114,4874,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,5,0,0,0,0,0,0,1
308,1010,6264,1080,20170114,5007,2017-02-16,9.84,9.84,1,,6,4,39.36,4,39.36,1,1,,1,100,10,0,0,1,32,124.64,124.64,1
308,1010,6264,1081,20170114,5302,2017-02-16,9.84,9.84,1,,6,8,78.72,8,78.72,1,1,,1,100,7,0,0,1,5,23.72,23.72,1
308,1010,6264,1083,20170114,4865,2017-02-16,9.84,19.68,2,,6,0,0,0,0,1,1,,1,100,6,0,0,2,45,198.32,198.32,1
308,1010,6264,1084,20170114,4860,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,3,0,0,1,14,98.92,98.92,1
308,1010,6264,1087,20170114,4924,2017-02-16,9.84,39.36,4,,6,4,39.36,4,39.36,1,1,,1,100,9,0,0,4,94,467.11,467.11,1
308,1010,6264,1097,20170114,5293,2017-02-16,9.84,19.68,2,,6,4,39.36,4,39.36,1,1,,1,100,5,0,0,2,66,257.73,257.73,1
308,1010,6264,1099,20170114,5469,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,7,0,0,1,6,49.07,49.07,1
308,1010,6264,1108,20170114,4922,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,5,0,0,1,26,149.84,149.84,1
308,1010,6264,1109,20170114,4854,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,3,0,0,1,32,146.04,146.04,1
308,1010,6264,1115,20170114,4864,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,6,0,0,0,0,0,0,1
308,1010,6264,1122,20170114,4993,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,4,0,0,0,0,0,0,1
308,1010,6264,1124,20170114,4720,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,4,0,0,0,0,0,0,1
308,1010,6264,1130,20170114,4992,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,7,0,0,0,0,0,0,1
308,1010,6264,1133,20170114,4989,2017-02-16,9.84,9.84,1,,6,4,39.36,4,39.36,1,1,,1,100,4,0,0,1,38,183.16,183.16,1
308,1010,6264,1141,20170114,5515,2017-02-16,9.84,0,0,,6,4,39.36,4,39.36,1,1,,1,100,7,0,0,0,0,0,0,1
308,1010,6264,1144,20170114,5283,2017-02-16,9.84,0,0,,6,4,39.36,4,39.36,1,1,,1,100,6,0,0,0,0,0,0,1
308,1010,6264,1152,20170114,4992,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,10,0,0,0,0,0,0,1
308,1010,6264,1153,20170114,4720,2017-02-16,9.84,0,0,,6,4,39.36,4,39.36,1,1,,1,100,4,0,0,0,0,0,0,1
308,1010,6264,1164,20170114,4803,2017-02-16,9.84,29.52,3,,6,0,0,0,0,1,1,,1,100,4,0,0,3,87,395.33,395.33,1
308,1010,6264,1165,20170114,4992,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,4,0,0,0,0,0,0,1
308,1010,6264,1168,20170114,4933,2017-02-16,9.84,0,0,,6,4,39.36,4,39.36,1,1,,1,100,7,0,0,0,0,0,0,1
308,1010,6264,1171,20170114,5293,2017-02-16,9.84,29.52,3,,6,4,39.36,4,39.36,1,1,,1,100,3,0,0,3,50,239.3,239.3,1
308,1010,6264,1172,20170114,5291,2017-02-16,9.84,0,0,,6,4,39.36,4,39.36,1,1,,1,100,6,0,0,0,0,0,0,1
308,1010,6264,1176,20170114,5486,2017-02-16,7,7,1,,0,0,0,0,0,1,1,,0,0,0,0,0,1,4,43.24,43.24,1
308,1010,6264,1179,20170114,5007,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,6,0,0,0,0,0,0,1
308,1010,6264,1181,20170114,4737,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,5,0,0,0,0,0,0,1
308,1010,6264,1184,20170114,4748,2017-02-16,9.84,19.68,2,,6,8,78.72,8,78.72,1,1,,1,100,6,0,0,2,70,259.02,259.02,1
308,1010,6264,1190,20170114,4992,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,3,0,0,1,62,268.27,268.27,1
308,1010,6264,1193,20170114,5007,2017-02-16,9.84,9.84,1,,6,0,0,0,0,1,1,,1,100,5,0,0,1,54,222.98,222.98,1
308,1010,6264,1197,20170114,4682,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,4,0,0,0,0,0,0,1
308,1010,6264,1198,20170114,5489,2017-02-16,9.84,9.84,1,,6,4,39.36,4,39.36,1,1,,1,100,8,0,0,1,15,58.18,58.18,1
308,1010,6264,1203,20170114,4986,2017-02-16,9.84,0,0,,6,4,39.36,4,39.36,1,1,,1,100,8,0,0,0,0,0,0,1
308,1010,6264,1204,20170114,4787,2017-02-16,9.84,29.52,3,,6,4,39.36,4,39.36,1,1,,1,100,9,0,0,3,75,369.29,369.29,1
308,1010,6264,1206,20170114,4804,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,11,0,0,0,0,0,0,1
308,1010,6264,1217,20170114,4934,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,5,0,0,0,0,0,0,1
308,1010,6264,1225,20170114,5009,2017-02-16,9.84,29.52,3,,6,0,0,0,0,1,1,,1,100,4,0,0,3,85,468.67,468.67,1
308,1010,6264,1226,20170114,5302,2017-02-16,9.84,9.84,1,,6,4,39.36,4,39.36,1,1,,1,100,6,0,0,1,16,108.24,108.24,1
308,1010,6264,1231,20170114,5660,2017-02-16,9.84,39.36,4,,6,8,78.72,8,78.72,1,1,,1,100,13,0,0,4,99,434.39,434.39,1
308,1010,6264,1233,20170114,5475,2017-02-16,9.84,0,0,,6,4,39.36,4,39.36,1,1,,1,100,6,0,0,0,0,0,0,1
308,1010,6264,1241,20170114,5517,2017-02-16,9.84,0,0,,6,0,0,0,0,1,1,,1,100,7,0,0,0,0,0,0,1
308,1010,6264,1248,20170114,4985,2017-02-16,9.84,19.68,2,,6,0,0,0,0,1,1,,1,100,2,0,0,2,18,119.17,119.17,1
