TransWeek,LocationNbr,ProductNbr,ClearanceSales,ClearanceUnits,CompSales,CompUnits,PromoSales,PromoUnits,RegularSales,RegularUnits,TotalSales,TotalUnits,CircularSales,CircularUnits,DiscontinuedSales,DiscontinuedUnits,TCPSales,TCPUnits
2014-01-18,2124,212020045,0.0,0,242.7,62,0.0,0,242.7,62,242.7,62,0.0,0,0.0,0,0.0,0
2014-01-18,1377,284100982,7.1999998,3,7.1999998,3,0.0,0,0.0,0,7.1999998,3,0.0,0,0.0,0,0.0,0
2014-01-18,1298,212220013,0.0,0,4.77,3,4.77,3,0.0,0,4.77,3,0.0,0,0.0,0,4.77,3
2014-01-18,2443,270020089,0.0,0,17.700001,6,17.700001,6,0.0,0,17.700001,6,0.0,0,0.0,0,17.700001,6
2014-01-18,2079,284101108,0.0,0,27.709999,14,27.709999,14,0.0,0,27.709999,14,27.709999,14,0.0,0,0.0,0
2014-01-18,2273,212020094,0.0,0,7.0700002,4,7.0700002,4,0.0,0,7.0700002,4,0.0,0,0.0,0,7.0700002,4
2014-01-18,615,212020404,0.0,0,50.52,6,50.52,6,0.0,0,50.52,6,0.0,0,0.0,0,50.52,6
2014-01-18,1978,284101385,0.0,0,11.71,5,0.0,0,11.71,5,11.71,5,0.0,0,0.0,0,0.0,0
2014-01-18,2429,270060410,0.0,0,3.0899999,1,0.0,0,3.0899999,1,3.0899999,1,0.0,0,0.0,0,0.0,0
2014-01-18,64,212040261,0.0,0,10.03,6,1.33,1,8.6999998,5,10.03,6,0.0,0,0.0,0,0.0,0
2014-01-18,353,245050368,0.0,0,39.48,4,39.48,4,0.0,0,39.48,4,39.48,4,0.0,0,0.0,0
2014-01-18,1121,245070517,0.0,0,5.4899998,1,0.0,0,5.4899998,1,5.4899998,1,0.0,0,0.0,0,0.0,0
2014-01-18,1380,231160063,0.0,0,4.4899998,1,0.0,0,4.4899998,1,4.4899998,1,0.0,0,0.0,0,0.0,0
2014-01-18,1098,284110695,0.0,0,11.74,6,11.74,6,0.0,0,11.74,6,11.74,6,0.0,0,0.0,0
2014-01-18,2302,212400039,0.0,0,10.74,6,10.74,6,0.0,0,10.74,6,0.0,0,0.0,0,10.74,6
2014-01-18,2557,212080077,0.0,0,8.2299995,3,0.0,0,8.2299995,3,8.2299995,3,0.0,0,0.0,0,0.0,0
2014-01-18,217,231140427,8.7299995,3,8.7299995,3,0.0,0,0.0,0,8.7299995,3,0.0,0,0.0,0,0.0,0
2014-01-18,1087,284101334,22.469999,27,22.469999,27,0.0,0,0.0,0,22.469999,27,0.0,0,0.0,0,0.0,0
2014-01-18,1355,288071512,0.0,0,7.3099999,2,7.3099999,2,0.0,0,7.3099999,2,7.3099999,2,0.0,0,0.0,0
2014-01-18,2048,212180130,0.0,0,5.9699998,3,5.9699998,3,0.0,0,5.9699998,3,0.0,0,0.0,0,5.9699998,3
