GEO,Description,Tag,RCategory,WeekEnding,Dollars,Units,BaseDollars,BaseUnits,PACV_FeatAndDisp,PACV_FeatWODisp,PACV_DispWOFeat,PACV_Discount,Dollars_FeatAndDisp,Dollars_Feature,Dollars_Display,Dollars_TPR,Units_FeatAndDisp,Units_Feature,Units_Display,Units_TPR,Units_EQ,BaseUnits_Feature,BaseDollars_Feature,BaseUnits_Display,BaseDollars_Display,BaseUnits_FeatAndDisp,BaseDollars_FeatAndDisp,BaseUnits_TPR,BaseDollars_TPR,EQUnitConversion,BaseUnits_EQ,Units_EQ_Feature,Units_EQ_Display,Units_EQ_FeatAndDisp,Units_EQ_TPR,BaseUnits_EQ_Feature,BaseUnits_EQ_Display,BaseUnits_EQ_FeatAndDisp,BaseUnits_EQ_TPR,Units_AnyPromo,Dollars_AnyPromo,BaseDollars_AnyPromo,BaseUnits_AnyPromo,Units_EQ_AnyPromo,BaseUnits_EQ_AnyPromo,Units_NoPromo,Dollars_NoPromo,BaseDollars_NoPromo,BaseUnits_NoPromo,Units_EQ_NoPromo,BaseUnits_EQ_NoPromo,Units_FeatAndOrDisp,Dollars_FeatAndOrDisp,BaseDollars_FeatAndOrDisp,BaseUnits_FeatAndOrDisp,Units_EQ_FeatAndOrDisp,BaseUnits_EQ_FeatAndOrDisp,ACV
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE GREEN SBBR 28 OZ,NS.253392,DAILY HAIR CARE,1/28/2017,30518,8531,26290,7036,0,8,4,14,0,6840,1286,3574,0,2179,355,1071,15925,1251,3979,475,1824,0,0,492,1972,1.866721369,13134.25155,4067.585863,662.686086,0,1999.258586,2335.268433,886.6926503,0,918.4269136,3605,11700,7775,2218,6729.530536,4140.387997,4926,18818,18515,4818,9195.469464,8993.863556,2534,8126,5803,1726,4730.271949,3221.961083,72
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE KIDS SBR 12 OZ,NS.248960,DAILY HAIR CARE,1/7/2017,15642,5936,17838,6027,0,13,2,6,0,1126,461,1737,0,603,208,606,5512,403,1386,227,462,0,0,496,2246,0.928571429,5596.5,559.9285714,193.1428571,0,562.7142857,374.2142857,210.7857143,0,460.5714286,1417,3324,4094,1126,1315.785714,1045.571429,4519,12318,13744,4901,4196.214286,4550.928571,811,1587,1848,630,753.0714286,585,65
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE KIDS SBR 12 OZ,NS.248960,DAILY HAIR CARE,1/14/2017,13360,4258,12087,3881,0,6,2,6,0,430,375,897,0,127,173,374,4327,204,698,61,134,0,0,212,726,1.016204791,3943.890794,129.0580085,175.8034288,0,380.0605918,207.3057774,61.98849225,0,215.4354157,674,1702,1558,477,684.9220291,484.7296853,3584,11658,10529,3404,3642.077971,3459.161109,300,805,832,265,304.8614373,269.2942696,65
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE KIDS SBR 12 OZ,NS.248960,DAILY HAIR CARE,1/21/2017,13197,4109,10764,3386,0,5,2,8,0,4314,374,513,0,623,172,242,4278,508,3508,121,254,0,0,80,160,1.041129229,3525.263568,648.6235094,179.0742273,0,251.9532733,528.8936481,125.9766367,0,83.29033828,1037,5201,3922,709,1079.65101,738.160623,3072,7996,6842,2677,3198.34899,2787.102945,795,4688,3762,629,827.6977367,654.8702847,65
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE KIDS SBR 12 OZ,NS.248960,DAILY HAIR CARE,1/28/2017,13951,4523,12158,3943,0,19,2,5,0,5290,556,262,0,964,270,144,4539,730,4365,136,276,0,0,75,155,1.003537475,3956.948264,967.410126,270.9551183,0,144.5093964,732.5823568,136.4810966,0,75.26531063,1378,6108,4796,941,1382.874641,944.3287641,3145,7843,7362,3002,3156.125359,3012.6195,1234,5846,4641,866,1238.365244,869.0634535,65
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE KIDS SBR 22 OZ,NS.246095,DAILY HAIR CARE,1/7/2017,21205,6387,16846,4483,0,4,1,29,0,1096,74,9552,0,362,23,3014,10361,95,373,39,126,0,0,1400,5733,1.622201346,7272.328636,587.2368874,37.31063097,0,4889.314858,154.1091279,63.26585251,0,2271.081885,3399,10722,6232,1534,5513.862377,2488.456866,2988,10483,10614,2949,4847.137623,4783.871771,385,1170,499,134,624.5475184,217.3749804,70
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE KIDS SBR 22 OZ,NS.246095,DAILY HAIR CARE,1/14/2017,18736,5425,16000,4284,0,5,0,22,0,981,0,4305,0,401,0,1551,8807,269,844,7,26,0,0,790,2803,1.623410138,6954.689032,650.9874654,0,0,2517.909124,436.6973272,11.36387097,0,1282.494009,1952,5286,3673,1066,3168.89659,1730.555207,3473,13450,12327,3218,5638.10341,5224.133825,401,981,870,276,650.9874654,448.0611982,70
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE KIDS SBR 22 OZ,NS.246095,DAILY HAIR CARE,1/21/2017,18473,5024,17613,4648,0,0,0,7,0,0,42,2476,0,0,11,703,8279,0,0,7,26,0,0,161,608,1.647890127,7659.393312,0,18.1267914,0,1158.46676,0,11.53523089,0,265.3103105,714,2518,634,168,1176.593551,276.8455414,4310,15955,16979,4480,7102.406449,7382.547771,11,42,26,7,18.1267914,11.53523089,69
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE KIDS SBR 22 OZ,NS.246095,DAILY HAIR CARE,1/28/2017,17017,4659,17719,4698,0,4,1,12,0,1774,104,2727,0,371,31,777,7519,491,2423,6,22,0,0,326,1330,1.613865636,7581.94076,598.7441511,50.02983473,0,1253.973599,792.4080275,9.683193818,0,526.1201975,1179,4605,3775,823,1902.747585,1328.211419,3480,12412,13944,3875,5616.252415,6253.729341,402,1878,2445,497,648.7739858,802.0912213,69
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE SILVER SBBR 28 OZ,NS.250754,DAILY HAIR CARE,1/7/2017,19802,6446,17624,5286,2,18,3,10,558,6009,730,1724,202,2095,246,500,12033,1380,4926,198,589,81,277,223,932,1.866739063,9867.582687,3910.818337,459.2178095,377.0812907,933.3695315,2576.099907,369.6143345,151.2058641,416.282811,3043,9021,6724,1882,5680.486969,3513.202917,3403,10781,10900,3404,6352.513031,6354.37977,2543,7297,5792,1659,4747.117437,3096.920105,55
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE SILVER SBBR 28 OZ,NS.250754,DAILY HAIR CARE,1/14/2017,22617,7064,18160,5373,0,4,5,20,0,2363,803,5348,0,980,264,1624,13186,365,1044,240,734,0,0,799,3015,1.866647792,10029.49858,1829.314836,492.795017,0,3031.436014,681.3264439,447.99547,0,1491.451586,2868,8514,4793,1404,5353.545866,2620.773499,4196,14103,13367,3969,7832.454134,7408.725085,1244,3166,1778,605,2322.109853,1129.321914,55
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE SILVER SBBR 28 OZ,NS.250754,DAILY HAIR CARE,1/21/2017,21732,6581,18959,5731,0,2,6,22,0,318,1218,4098,0,74,416,1182,12285,23,105,414,1266,0,0,640,2449,1.866737578,10698.27306,138.1385808,776.5628324,0,2206.483817,42.93496429,772.8293572,0,1194.71205,1672,5634,3820,1077,3121.18523,2010.476371,4909,16098,15139,4654,9163.81477,8687.796687,490,1536,1371,437,914.7014132,815.7643215,61
NEW YORK - AOCxp,WASH & CARE UNILEVER MFR SUAVE SILVER SBBR 28 OZ,NS.250754,DAILY HAIR CARE,1/28/2017,21836,6558,18800,5546,0,6,4,17,0,2309,429,2375,0,808,144,789,12243,413,1229,155,470,0,0,362,1349,1.866880146,10353.71729,1508.439158,268.8307411,0,1472.968435,771.0215005,289.3664227,0,675.810613,1741,5113,3048,930,3250.238335,1736.198536,4817,16723,15752,4616,8992.761665,8617.518756,952,2738,1699,568,1777.269899,1060.387923,61
NEW YORK - AOCxp,WASH & CARE VIDAL SASSOON 12 OZ,NS.600654,DAILY HAIR CARE,1/7/2017,364,153,535,224,0,0,0,0,0,0,0,4,0,0,0,4,123,0,0,0,0,0,0,1,3,0.803921569,180.0784314,0,0,0,3.215686275,0,0,0,0.803921569,4,4,3,1,3.215686275,0.803921569,149,360,532,223,119.7843137,179.2745098,0,0,0,0,0,0,3
NEW YORK - AOCxp,WASH & CARE VIDAL SASSOON 12 OZ,NS.600654,DAILY HAIR CARE,1/14/2017,402,161,419,173,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0.795031056,137.5403727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,402,419,173,128,137.5403727,0,0,0,0,0,0,3
